t_min,worker,full_gc_delta_5min,cum_pause_ms
-60,worker-1,0,0
-50,worker-1,0,0
-40,worker-1,0,0
-30,worker-1,1,820
-25,worker-1,1,1780
-20,worker-1,2,3810
-15,worker-1,2,5990
-10,worker-1,3,9150
-5,worker-1,4,13400
0,worker-1,5,18800
5,worker-1,0,0
10,worker-1,1,900
-60,worker-2,0,0
-30,worker-2,1,760
-20,worker-2,2,3900
-15,worker-2,0,0
-5,worker-2,4,14100
0,worker-2,5,19000
10,worker-2,1,1100
-60,worker-3,0,0
-30,worker-3,1,810
-20,worker-3,2,4050
0,worker-3,5,18700
10,worker-3,6,24000
-60,worker-4,0,0
-30,worker-4,1,790
-12,worker-4,3,8600
-8,worker-4,0,0
0,worker-4,5,18200
10,worker-4,1,1000
