t_min,worker,heap_used_mb,heap_limit_mb
-60,worker-1,540,2048
-55,worker-1,580,2048
-50,worker-1,620,2048
-45,worker-1,700,2048
-40,worker-1,790,2048
-35,worker-1,880,2048
-30,worker-1,980,2048
-25,worker-1,1090,2048
-20,worker-1,1210,2048
-15,worker-1,1330,2048
-10,worker-1,1470,2048
-5,worker-1,1640,2048
0,worker-1,1810,2048
5,worker-1,660,2048
10,worker-1,810,2048
-60,worker-2,530,2048
-40,worker-2,780,2048
-25,worker-2,1090,2048
-20,worker-2,1280,2048
-15,worker-2,600,2048
-5,worker-2,1620,2048
0,worker-2,1780,2048
10,worker-2,950,2048
-60,worker-3,550,2048
-40,worker-3,800,2048
-20,worker-3,1220,2048
0,worker-3,1790,2048
10,worker-3,1830,2048
-60,worker-4,535,2048
-40,worker-4,770,2048
-20,worker-4,1200,2048
-12,worker-4,1450,2048
-8,worker-4,610,2048
0,worker-4,1700,2048
10,worker-4,880,2048
