offset_min,api_p99_ms,api_5xx_per_min
-95,208,1
-94,288,0
-93,187,0
-92,204,1
-91,270,2
-90,193,2
-89,309,1
-88,319,2
-87,240,0
-86,309,1
-85,299,0
-84,206,0
-83,273,2
-82,249,0
-81,309,2
-80,207,0
-79,188,0
-78,285,0
-77,305,2
-76,200,0
-75,263,1
-74,212,1
-73,229,1
-72,291,2
-71,316,0
-70,247,2
-69,207,1
-68,277,1
-67,220,1
-66,218,2
-65,200,1
-64,197,2
-63,251,1
-62,194,1
-61,255,0
-60,318,0
-59,314,2
-58,212,2
-57,248,2
-56,227,0
-55,238,1
-54,304,1
-53,288,2
-52,211,0
-51,236,2
-50,188,0
-49,206,1
-48,266,2
-47,188,1
-46,225,0
-45,294,1
-44,181,0
-43,304,0
-42,287,1
-41,206,1
-40,230,1
-39,274,1
-38,200,1
-37,294,1
-36,197,1
-35,203,2
-34,300,1
-33,189,0
-32,221,1
-31,198,1
-30,244,2
-29,215,1
-28,220,1
-27,243,0
-26,205,0
-25,284,0
-24,257,2
-23,308,2
-22,311,1
-21,211,2
-20,260,1
-19,300,2
-18,316,1
-17,225,2
-16,274,0
-15,304,2
-14,280,0
-13,230,2
-12,257,0
-11,234,2
-10,272,2
-9,218,1
-8,244,1
-7,221,1
-6,225,1
-5,311,1
-4,193,2
-3,223,0
-2,270,1
-1,184,1
0,438,1
1,311,2
2,376,2
3,398,1
4,295,1
5,297,1
6,400,1
7,301,0
8,285,1
9,348,1
10,277,1
11,434,0
12,287,1
13,363,0
14,274,0
15,308,1
16,404,1
17,437,2
18,322,0
19,403,2
20,183,1
21,183,2
22,192,0
23,286,1
24,227,1
25,227,1
26,300,2
27,230,0
28,187,0
29,313,2
30,319,1
31,222,1
32,320,0
33,256,2
34,283,2
35,309,2
36,220,0
37,205,2
38,309,1
39,222,1
40,234,1
