offset_min,scans_per_min,rows_scanned_per_min,validation_fail_rows
-95,12,119073,0
-94,12,122082,0
-93,12,123925,0
-92,12,117958,0
-91,12,120529,0
-90,12,115960,0
-89,12,116469,0
-88,12,123515,318
-87,12,123877,386
-86,12,121860,212
-85,12,118411,1265
-84,12,122418,968
-83,12,117566,1103
-82,12,123400,1370
-81,12,121129,1073
-80,12,120940,1048
-79,12,120507,901
-78,12,117535,1297
-77,12,117717,1159
-76,12,115958,1135
-75,12,121135,1378
-74,12,120217,1072
-73,12,115457,1194
-72,12,117785,1149
-71,12,122332,1005
-70,12,124452,1090
-69,12,119439,1066
-68,12,123632,992
-67,12,121181,918
-66,12,117992,987
-65,12,123673,1032
-64,12,115129,1187
-63,12,124503,1329
-62,12,117504,1234
-61,12,123329,915
-60,12,124935,1185
-59,12,118583,1282
-58,12,119333,1314
-57,12,117258,1071
-56,12,118275,1341
-55,12,115858,982
-54,12,122296,1380
-53,12,116187,1196
-52,12,117167,1380
-51,12,118409,1022
-50,12,121520,1220
-49,12,117511,1103
-48,12,120834,1215
-47,12,120814,908
-46,12,123446,1024
-45,12,117141,1233
-44,12,119670,1252
-43,12,119999,1290
-42,12,124428,1307
-41,12,116030,980
-40,12,119297,1329
-39,12,118474,977
-38,12,122440,1025
-37,12,122257,1073
-36,12,120290,1270
-35,12,118356,1250
-34,12,117988,959
-33,12,117553,1138
-32,12,124480,1289
-31,12,124037,957
-30,12,119960,1391
-29,12,124456,932
-28,12,118884,1043
-27,12,117130,939
-26,12,124742,1043
-25,12,118504,1368
-24,12,116408,982
-23,12,124264,923
-22,12,123241,1380
-21,12,124285,1388
-20,12,121123,999
-19,12,118771,1397
-18,12,121271,1079
-17,12,119468,965
-16,12,121594,1141
-15,12,116736,1320
-14,12,120971,1361
-13,12,124356,1181
-12,12,118740,1032
-11,12,120252,1164
-10,12,118078,1233
-9,12,117350,1058
-8,12,121538,994
-7,12,116502,1006
-6,12,122662,1182
-5,12,115466,1183
-4,12,116306,1040
-3,12,117004,1053
-2,12,118708,1106
-1,12,121320,971
0,12,116803,973
1,12,118498,1044
2,12,117382,971
3,12,115218,1192
4,12,118035,1203
5,12,118693,1305
6,12,117590,1379
7,12,116204,1003
8,12,122130,944
9,12,123180,1097
10,12,115882,1362
11,12,122816,1291
12,12,120318,1223
13,12,121071,1137
14,12,119867,1189
15,12,116920,1325
16,12,115409,1257
17,12,115812,964
18,12,117470,1346
19,12,120194,1245
20,12,124991,983
21,12,121393,1264
22,12,122958,1224
23,12,120013,1089
24,12,121572,921
25,12,116391,1400
26,12,124153,1172
27,12,121278,903
28,12,116915,757
29,12,116643,578
30,12,123065,144
31,12,117170,0
32,12,121788,0
33,12,120991,0
34,12,118415,0
35,12,118971,0
36,12,119318,0
37,12,124055,0
38,12,121072,0
39,12,121342,0
40,12,116081,0
