offset_min,pending_jobs,oldest_job_age_min
-95,58,4.2
-94,41,7.9
-93,69,2.8
-92,77,2.4
-91,45,7.3
-90,66,7.9
-89,75,3.4
-88,59,6
-87,47,8
-86,47,6.9
-85,60,1.2
-84,68,2.7
-83,74,4.3
-82,85,5
-81,94,4.8
-80,97,5.2
-79,115,7.2
-78,106,8.8
-77,135,9.9
-76,119,10.2
-75,130,10.9
-74,150,11
-73,147,13.4
-72,173,12.5
-71,160,14.4
-70,169,15.9
-69,183,15.8
-68,211,16.1
-67,223,17.9
-66,188,19.8
-65,198,19.8
-64,249,21.7
-63,218,20.7
-62,222,22.2
-61,268,22.1
-60,294,22.8
-59,255,26.1
-58,245,26.2
-57,242,26.6
-56,301,28.8
-55,291,28.7
-54,328,28.6
-53,303,29
-52,289,31.8
-51,284,32.2
-50,363,32.6
-49,376,34.2
-48,374,35.7
-47,332,35.2
-46,354,37.2
-45,381,37.2
-44,387,39.8
-43,431,37.9
-42,360,39.3
-41,372,40.4
-40,340,43
-39,350,43.7
-38,358,45.4
-37,369,45.4
-36,377,47.3
-35,395,46.5
-34,396,49.2
-33,418,50.4
-32,431,51.1
-31,440,50.2
-30,453,51.9
-29,434,53.8
-28,456,54.3
-27,453,56
-26,496,54.6
-25,500,58.2
-24,498,56.3
-23,513,59.2
-22,520,60
-21,541,60.4
-20,540,62.1
-19,533,61.6
-18,571,63.5
-17,548,65.2
-16,602,65.8
-15,623,67.1
-14,594,67
-13,602,67.1
-12,631,68.3
-11,652,68.7
-10,631,70.1
-9,640,72.6
-8,645,73.5
-7,666,72.1
-6,692,73.4
-5,736,75.7
-4,665,74.8
-3,703,76.6
-2,710,78.8
-1,759,78.7
0,760,80.5
1,764,80.7
2,769,82.5
3,778,81.9
4,774,83.4
5,787,84
6,787,86.4
7,793,86.2
8,806,88.1
9,813,87.5
10,819,89.9
11,805,89.5
12,823,90.4
13,823,91.2
14,818,92.9
15,834,93.8
16,843,94.7
17,820,95.6
18,856,96
19,838,96.9
20,868,99.4
21,843,99.3
22,890,101.2
23,851,101.2
24,881,102.3
25,880,110.6
26,806,102.7
27,762,92.6
28,687,85.6
29,589,74.3
30,555,66.7
31,466,58
32,483,49.9
33,296,38.4
34,56,2
35,57,5.6
36,64,2.7
37,56,5.7
38,46,5.7
39,56,3.9
40,49,3.9
