offset_min,worker_cpu_pct,worker_mem_pct,gc_pause_ms
-95,27.3,57.1,85
-94,29.4,58.3,28
-93,23.8,57.1,80
-92,26.0,59.4,36
-91,31.5,58.5,38
-90,28.7,55.6,63
-89,24.2,57.2,78
-88,26.2,57.4,59
-87,23.7,54.3,41
-86,32.4,56.2,55
-85,35.9,59.5,35
-84,25.5,59.3,51
-83,30.7,54.6,57
-82,33.8,59.5,76
-81,31.7,56.2,55
-80,32.8,55.0,87
-79,33.9,54.3,88
-78,34.6,55.2,62
-77,25.2,57.1,27
-76,32.0,59.2,69
-75,25.0,57.4,70
-74,30.0,58.0,66
-73,29.8,57.0,74
-72,23.1,57.1,48
-71,25.5,59.7,44
-70,24.9,59.2,72
-69,28.9,56.3,27
-68,30.3,55.2,40
-67,33.0,55.5,74
-66,26.8,58.5,27
-65,27.2,59.3,51
-64,35.2,56.2,57
-63,31.6,56.5,58
-62,28.1,58.6,49
-61,22.1,57.0,29
-60,43.6,55.3,360
-59,53.0,55.1,400
-58,42.7,59.9,465
-57,45.9,57.3,452
-56,50.8,56.9,333
-55,47.0,58.7,452
-54,45.2,57.8,416
-53,40.6,56.1,263
-52,25.1,55.1,58
-51,34.2,56.6,27
-50,34.2,56.3,54
-49,35.7,57.3,28
-48,29.0,57.1,40
-47,26.0,58.8,65
-46,32.3,59.9,64
-45,35.2,56.6,64
-44,33.3,56.8,73
-43,33.1,58.4,90
-42,31.0,57.9,71
-41,35.5,56.5,71
-40,35.9,56.5,29
-39,35.1,55.0,84
-38,33.9,55.3,89
-37,31.3,57.5,69
-36,29.9,55.3,83
-35,29.0,57.1,76
-34,29.3,58.3,23
-33,33.0,58.1,57
-32,31.4,59.5,59
-31,27.1,59.6,84
-30,22.3,54.3,67
-29,30.7,57.0,29
-28,29.3,55.3,70
-27,35.6,57.5,48
-26,34.9,56.4,60
-25,28.6,56.6,76
-24,27.3,58.1,51
-23,25.2,59.2,46
-22,27.9,59.0,81
-21,22.1,55.0,25
-20,34.8,56.7,49
-19,29.0,59.9,40
-18,35.8,54.7,73
-17,28.2,58.6,65
-16,26.7,54.9,79
-15,32.3,54.3,26
-14,27.5,57.9,55
-13,23.7,55.8,89
-12,29.8,59.4,51
-11,33.5,57.5,51
-10,31.8,56.8,57
-9,34.1,54.9,76
-8,25.7,59.4,25
-7,32.5,57.4,78
-6,27.8,54.2,44
-5,31.6,59.8,40
-4,34.2,58.2,59
-3,35.4,58.5,90
-2,24.8,55.8,70
-1,28.0,58.4,46
0,30.3,58.8,25
1,31.5,54.0,43
2,23.7,56.1,50
3,26.5,57.3,55
4,22.6,57.0,83
5,34.9,55.8,81
6,30.3,57.3,57
7,28.2,57.7,32
8,27.9,57.9,33
9,33.8,57.9,52
10,26.6,59.4,85
11,34.9,55.4,29
12,28.5,54.6,47
13,23.5,55.7,31
14,27.2,55.7,41
15,30.2,55.1,46
16,29.0,57.9,65
17,27.1,55.4,87
18,26.8,59.8,80
19,26.5,57.9,76
20,23.1,59.9,68
21,35.0,59.2,65
22,33.2,58.7,47
23,30.5,54.6,88
24,30.7,60.0,63
25,30.8,59.0,40
26,27.2,58.9,49
27,35.7,59.0,40
28,27.0,55.5,43
29,34.2,54.7,37
30,22.1,56.4,69
31,23.8,56.9,68
32,25.9,57.2,53
33,22.3,58.8,29
34,35.8,54.7,79
35,25.7,57.8,23
36,31.5,55.6,33
37,25.6,58.4,75
38,34.5,54.1,70
39,26.8,56.8,60
40,34.1,57.0,59
