"c","t","n","sum","max"
"dockerA1","-3600","620","11397","1058"
"dockerA1","-3540","500","3521","331"
"dockerA1","-3480","516","6865","736"
"dockerA1","-3420","585","8185","1055"
"dockerA1","-3360","550","8744","1054"
"dockerA1","-3300","1032","15770","1070"
"dockerA1","-3240","818","10777","1050"
"dockerA1","-3180","640","16099","1052"
"dockerA1","-3120","384","217330","31289"
"dockerA1","-3060","583","22596","1826"
"dockerA1","-3000","740","8004","940"
"dockerA1","-2940","600","10066","1082"
"dockerA1","-2880","933","12255","1070"
"dockerA1","-2820","666","21904","1053"
"dockerA1","-2760","725","13515","1051"
"dockerA1","-2700","958","51983","2141"
"dockerA1","-2640","867","27087","2059"
"dockerA1","-2580","422","9467","1138"
"dockerA1","-2520","509","10685","1059"
"dockerA1","-2460","396","9069","1038"
"dockerA1","-2400","532","7776","1047"
"dockerA1","-2340","530","4909","553"
"dockerA1","-2280","562","13449","1054"
"dockerA1","-2220","632","49925","9355"
"dockerA1","-2160","665","39471","3056"
"dockerA1","-2100","699","74299","10634"
"dockerA1","-2040","681","161857","18048"
"dockerA1","-1980","624","18850","2149"
"dockerA1","-1920","609","28970","6315"
"dockerA1","-1860","476","11561","1384"
"dockerA1","-1800","482","10371","1055"
"dockerA1","-1740","390","7413","1057"
"dockerA1","-1680","633","23200","1189"
"dockerA1","-1620","626","19947","1065"
"dockerA1","-1560","663","9209","1053"
"dockerA1","-1500","678","13787","1058"
"dockerA1","-1440","680","14770","1058"
"dockerA1","-1380","635","24278","2059"
"dockerA1","-1320","664","23987","2191"
"dockerA1","-1260","442","8642","1046"
"dockerA1","-1200","607","10912","1047"
"dockerA1","-1140","503","5693","1042"
"dockerA1","-1080","682","19154","1131"
"dockerA1","-1020","705","8404","1047"
"dockerA1","-960","530","3557","236"
"dockerA1","-900","504","9152","845"
"dockerA1","-840","724","20200","1268"
"dockerA1","-780","594","15039","1085"
"dockerA1","-720","558","8530","1040"
"dockerA1","-660","502","5260","542"
"dockerA1","-600","583","6042","842"
"dockerA1","-540","636","14969","1076"
"dockerA1","-480","559","14101","2075"
"dockerA1","-420","345","5363","941"
"dockerA1","-360","429","13983","1288"
"dockerA1","-300","682","10404","1050"
"dockerA1","-240","672","18466","2066"
"dockerA1","-180","607","16513","1082"
"dockerA1","-120","665","17884","1048"
"dockerA1","-60","702","26414","2066"
"dockerA1","0","787","13711","1182"
"dockerA1","60","666","13029","1858"
"dockerA1","120","498","6694","941"
"dockerA1","180","517","11874","1046"
"dockerA1","240","709","9714","1042"
"dockerA1","300","584","11576","1076"
"dockerA1","360","562","8990","1471"
"dockerA1","420","570","7329","1046"
"dockerA1","480","652","8116","1039"
"dockerA1","540","565","7816","1040"
"dockerA1","600","484","4329","342"
"dockerA1","660","421","6792","1042"
"dockerA1","720","488","11597","1047"
"dockerA1","780","475","3572","443"
"dockerA1","840","326","3728","542"
"dockerA1","900","455","2603","82"
"dockerA1","960","459","5391","537"
"dockerA1","1020","513","6209","351"
"dockerA1","1080","563","10431","1048"
"dockerA1","1140","467","10430","1042"
"dockerA1","1200","476","8368","1040"
"dockerA1","1260","577","12603","1268"
"dockerA1","1320","743","15729","1051"
"dockerA1","1380","1232","35095","2092"
"dockerA1","1440","910","22380","1083"
"dockerA1","1500","524","7155","1042"
"dockerA1","1560","706","9315","1046"
"dockerA1","1620","514","10308","1355"
"dockerA1","1680","685","16613","1394"
